ENSEMBL,mean.nrc.f,mean.nrc.m,pvalue,stderr,foldchangesMF,log2FoldChangeMF,ENTREZID,SYMBOL
FBgn0020545,401.8347012,764.5144528,4.13E-06,23.00204894,1.902559561,0.927941619,33265,kraken
FBgn0031288,0.879562055,22.99928536,4.82E-05,2.141771183,26.14856477,4.708659858,33266,CG13949
FBgn0031289,19.61810706,67.41047728,0.000368042,6.65358469,3.436135661,1.780786996,33267,CG13950
FBgn0002936,58.17894811,96.73511664,0.026062632,13.12954173,1.662716838,0.733542498,33271,ninaA
FBgn0046113,42.38039142,99.32930841,0.000879117,9.325577377,2.343756277,1.228822554,33275,GluRIIC
FBgn0028481,64.72393297,95.70410294,0.009122365,8.184109983,1.478650919,0.5642815,33276,CG4341
FBgn0031296,0.289784671,103.4588696,8.36E-06,7.380538532,357.0198151,8.479860338,33279,CG4415
FBgn0031298,247.6209972,273.988999,0.043997373,10.37535763,1.106485323,0.145984314,33283,Atg4a
FBgn0031301,0,169.4581757,2.07E-06,9.561508964,Inf,Inf,33286,CG14339
FBgn0031304,292.6747646,764.9990629,8.70E-07,23.01471158,2.613819691,1.386159623,33289,TBC1D23
FBgn0031306,240.910127,440.4606109,0.000183726,24.48989875,1.828319201,0.870517968,33291,CG4577
FBgn0283525,75.91691671,38.94667134,0.004124015,8.223984708,-1.949253019,-0.962921369,33293,l(2)10685
FBgn0031310,140.2479515,198.2087376,0.002142657,11.28338795,1.413273673,0.499040863,33295,Vps29
FBgn0031312,204.6941618,141.6161306,0.003489838,13.55408987,-1.445415582,-0.531484352,33298,Tango14
FBgn0031315,61.43401565,80.32667987,0.003438088,4.047151685,1.307527744,0.386841558,33301,CG14341
FBgn0031319,161.6344564,360.9771646,0.000141568,23.3482627,2.233293399,1.159172798,33305,CG4896
FBgn0031321,80.23842941,33.58994683,3.56E-06,2.885233307,-2.388763216,-1.256263855,33307,Tgt
FBgn0031322,230.184268,365.490676,0.004721543,30.96604147,1.587817791,0.667045366,33308,CG5001
FBgn0031324,0.735797553,5.151092253,0.011352779,1.226127882,7.000692283,2.807497594,33310,CG14342
FBgn0259229,77.90959988,132.4955098,0.005371815,12.83949567,1.700631372,0.766070457,33312,CG42329
FBgn0031327,116.8135952,217.2580702,0.002014927,19.31641825,1.859869734,0.895201578,33313,CG5397
FBgn0041097,47.76115492,79.15361118,0.012650987,8.94033605,1.657280091,0.728817448,33314,robo3
FBgn0011294,44.83694382,94.85083023,0.004968651,11.57034837,2.11546154,1.080972457,33317,a5
FBgn0031331,0,66.7991066,1.28E-06,3.475801442,Inf,Inf,33318,CG5440
FBgn0026141,0.21741291,733.9414955,2.73E-06,43.38027192,3375.79538,11.72101174,33319,Cdlc2
FBgn0031337,0.941874587,128.224662,3.57E-05,11.69728262,136.1377234,7.088923079,33325,CG14346
FBgn0263320,0,4.46391411,0.002896519,0.923317292,Inf,Inf,12797875,CG43401
FBgn0051928,27.66244188,0.249420894,0.027843093,9.499026668,-110.9066743,-6.793202379,326175,CG31928
FBgn0051661,57.59307269,1.21642379,0.005301427,13.22342362,-47.34622354,-5.565177452,33330,CG31661
FBgn0031351,36.26388926,15.8533881,0.0077849,5.204230831,-2.287453573,-1.193742462,33341,CG14352
FBgn0086758,73.07860408,329.1365221,0.000347073,35.26685805,4.503869856,2.17116514,33343,chinmo
FBgn0011570,378.941977,250.5607411,0.000326393,17.48437851,-1.512375703,-0.596816577,33346,cpb
FBgn0031357,81.52991611,61.7436814,0.003558876,4.268835663,-1.320457645,-0.401038026,33348,mRpL48
FBgn0260648,90.12868268,37.27407807,2.64E-05,4.609217252,-2.417998978,-1.273813635,319033,Rrp40
FBgn0264494,456.1147541,857.7976857,0.00059695,61.15595003,1.880662,0.911240585,33354,CG17646
FBgn0031364,0,47.73030201,4.78E-06,3.104361227,Inf,Inf,33357,CG17648
FBgn0051665,143.8534128,275.7377246,0.00104407,22.3158034,1.916796545,0.938697213,33361,wry
FBgn0031374,1023.34168,1564.098053,0.000265238,70.91517412,1.528422113,0.612043036,33367,Wdr62
FBgn0267972,247.4577853,366.4311454,0.001141753,20.47935311,1.480782449,0.566359701,33369,Der-1
FBgn0031378,52.7787646,168.1702804,0.000123527,13.19085324,3.186324683,1.671893283,33371,CG15362
FBgn0031379,197.946347,479.8404059,7.69E-06,19.88355989,2.424093262,1.277445205,33372,CG7289
